,comment,reference,is_related
39,"дэзигнерхэтээмэл верстальщик, платят негусто конечно.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
40,"айтишник с опытом, ничего не скажешь","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
41,"корпоративный дизигнер я, москва","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
42,"с ходу мало у лебедева платят, ниже рынка, они типа дают тебе шанс в резюме написать, что ты у них работал.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
43,гроши платят только на фрилансе,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
44,работаю на савушкина комментатором. платят миллион рублей.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
45,"раньше, кстати, профит был в раза меньше","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
46,"приятель скоро планирует мебельный цех в области открывать, предлагает вложиться деньгами. с него отцовские связи. если взлетит, то перекачусь в этот бизнес.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
47,про хохлов часто приходится писать. какие подводные.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
48,"и на что тратишь. чем занимаешься, если не работаешь.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
49,качаю бабки на серые счета в оффшорный зонах. платят норм.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
50,"программирую дома. сколько платят? платят рабам, а у меня доход.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
51,"трачу на вещества, остальное откладываю на полгода автономной жизни в амстердаме, когда совсем нечем заняться хожу в универ или думаю над прибыльными схемами","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
52,"платят нормально по баблу как-то, поди хорошие деньги плотют.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
53,"не знаю я уже в дверной проем не помещаюсь, работаю на удаленке, последний раз выходил на улицу в июле позапрошлого года. ко мне подъезжает фура с баблом и выгружают бабки прямо в квартиру.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
54,ты ебанутый. забыл опа снять или что.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
55,"...работаю я там, дебил. русский язык уже совсем не воспринимается.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
56,специализированные библиотеки или с нуля.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
57,с нуля писал только логикупочти вся работа с api на готовых библиотеках,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
58,"что это за хуйня вообще. биржа какая-то типо форекса. не интересует твой бот, буду руками копаться в этом говне, если что.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
59,"посоветуешь что-нибудь почитать по бизнес-логике, применительно к этой области.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
60,"да, украина является одной из главнейших тем. подводных нет, разве только если, что при собеседовании тебя тщательно проверяют на наличие оппозиционных убеждений.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
61,"там же какие-то микробаны вешают тебе на айпишник, если ботишь. как обходишь.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
62,"тестирование безопастности в швейцарском банке. селениум-хуениум, содомирование api. платят норм, хотя суть не в зп, а в ожидании пмж и гражданства.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
63,программист фрилансер из дс. получаю тыщу в месяц,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
64,если не нарушать правила банов не будет,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
65,"серверный погромист, дс, миллион чистыми, небольшая надбавка за переработку. работаю часов по пять в день.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
66,"ни одного слова не понял, что это вообще значит.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
67,"ну смотри, у тебя ведь бот, он скупает, если выставлена вещь дешевле обычного. для этого нужно постоянно сканировать большое количество айтемов. вот тут то обычно и дают временный бан.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
68,"схем очень много, я в этом уже не первый день","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
69,на чём пишешь. какой был последний проект.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
70,но ведь есть много других языков,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
71,"ну смотри, я правильно принцип то хоть понимаю. ты сканируешь ряд айтемов, если там цена x, покупаешь их и перепродаешь. работает через бразуер наверно.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
72,"android разработчик, дс, двести чистыми","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
73,я почти на любом могу писать. зависит от задачи,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
74,такие маленькие зарплаты. где все господа.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
75,"скриптовые языки, в основном перл. кстати, hr перловиков прям на части рвут, их сейчас дефицит. зарплату все равно предлагают нищебскую. про проект ничего не могу сказать. ","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
76,"я в российских ракушках каури путаюсь, ничего личного, но у вас ебнутые цифры для перевода. десяток евро чистыми тебя успокоят.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
77,"погодь, а как же с для серваков и т.д.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
78,еще один войтишник. лол. мимо харьков.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
79,и че ты там тестируешь школотрон? свой анус?,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
80,"мидл веб разработчик онлайн маркетплэйс сервиса на реакте, редуксе и прочем. ","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
81,"это у тебя за сколько. сам снял тыщи евро за примерно полторы недели. но кодил часа в день. ебашу на крестах, считаю с топовым языком.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
82,"it depends, как говорится. если тебе не нужен убермегахайлоад, тыщ запросов в секунду, то с не нужен тоже. на нем разрабатывать долго и дорого. ","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
83,поссал на всех обезьян в этом итт треде.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
84,"не очень впечатляет, но для нищей европы сойдет. может быть ты когда-нибудь даже будешь получать столько сколько интерны в гугле.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
85,"оставь свои эротические фантазии для своей мамки, няша.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
86,сделал по-быстрому обои и лолирую над коллегами. зы веб макака.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
87,расскажи про страну. реально так охуенно там жить. понятно что лучше чем в россии,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
88,"даааа, ты так говоришь как будто я не видел гуголь изнутри. кися, все эти истории про страну неверленд для итшников это рекламная замануха.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
89,"очень наглядная картинка, цены падают, скоро даже в дс сто потолком будет, если не ниже. ибо рынок перенасыщается вкатывальщиками.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
90,контрактник на фирму из юэсэй. получаю двадцать баксов в час. раньше работал в рамблере и паре менее известных контор.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
91,"ну с такими мозгами как у меня везде ахуенно. на работе меня сравнивают с богом, а я не против.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
92,"ебашу энтерпрайз на .net в корпорации, дс.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
93,"справедливо, но оплату там можно неплохую выбить. аноны как думаете, надо ли перекатываться из программирования в консалтинг. надоело кодить сутками.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
94,"я не скажу что вот так прямо охуенно или это я уже принюхался. чистый воздух, красивый вид вокруг дома и работы, все работает без проебов, вежливые чиновники, люди не хмурые.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
95,ну если ты умеешь грамотно наводить понты и у тебя подвешен првильно язык то да. в консалте и ба нужно очень много пиздеть с умным видом.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
96,"напиши бота, который бы кодил. ничего сложного.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
97,"понятно что лучше чем в россии, смерд неблагодарный. не заметил, что мы стали более лучшие одеваться, засеивать больше земель овощи там, рожь.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
98,"самир листьениньг тьоу йюю ма фиренд. вай дьу йюю нииид а боть, самирь вильь до еверисиньг форь уань долларь перь мантцс","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
99,"дай советы как попасть в консалтинг если в теме, буду признателен. уболтать смогу, язык подвешен.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
100,"уйди в бизаналитики если ты работаешь по найму. обрасти максимальным количеством сертификатов и дипломов, а также частием в конференциях за счет конторы. ","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
101,"я так понимаю это торговый робот. ты делал ет через macd? emas emal. или же wma. еще, как ты определял пересечения графиков кривых сигнала и ema?","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
102,одной брюквы назло санкциям сколько собрали в прошлом году.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
103,"коллеги, ваши прошнозы по поводу будущего ит рынка в рф. вижу что много вкатывальщиков, зарплаты не выросли пропорционально скачку валюты. напрягает. ","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
104,"я не силн в этой терминологии, если честно.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
105,"я просто сам пишу торгового робота , но на matlab. плюс просчитываю портфель акций и риски. сейчас проблема в роботе состоит в том, чтобы нормально опознавать моменты на понижение и повышение.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
106,"поэтому я работаю за баксы. люто, бешено доставляет. рекомендую","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
107,"высокочастотный трейдинг, или обычный.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
108,"а мне кажется, что нужно пиздить вообще всех, кто охуел. вот и все",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
109,не надо бриться наголо и объединяться в маргинальные уличные банды. надо отращивать волосы и объединяться в элитарныено не оторванные от быта университетские банды. ,скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
110,"боны быдло ебаное, все что с ними связано отвратительно нормальному человеку. в то же время мне видится довольно симпатичным ельцинский национализм, флаг с более яркими цветами, патриотическая песня.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
111,"нет смысла бороться с конкретной национальностью, так во-первых, вы отпугнете от себя большую часть электората, во-вторых будет очень много вопросов типа есть очень хороший специалист в какой-то области.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
112,кому ты пиздишь. был джва года назад в дс. практически все дворники что я видел были русскими.,скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
113,большая часть электората русские,скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
114,"охуенный район. но есть статитстика. в дс таджикоов, нет и даже нет.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,0
115,"согласен с этим аноном, не только хачи охуевают",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
116,"национализм и фашизм это путь против прогресса. читай про глобализацию маня и пойми, что рано или поздно все расы смешаются, потому что самолеты и поезда с каждым годом все быстрее и быстрее.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
117,"ну и я о чем, у большинства людей срабатывает цепочка нация нацизм гитлер вов плохо.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
118,"нихуя подобного, дебил, рассизм есть у всех, просто арабов и китайцев будет больше потому что рожают, а ты однажды проснешся в другой стране где ты чужой",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
119,"убил чурок как свиней на бойне, задавайте свои ответы.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
120,"что за лепет малолетнего. хотя, ладно. я в тоже разной дурью маялся, пройдет это все.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
121,"я уже к тому моменту буду давно мертв. это во-первых. во-вторых национализм несет с собой столько экономических и политических проблем, о которых маня с двача почему-то не задумывается.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
122,"продолжение своего существования это путь против прогресса. читай про тепловую смерть вселенной маня и пойми, что рано или поздно все макроскопические процессы прекратятся.",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
123,ну давай расскажи нам про проблемы. дубай пример. чистый национализм.,скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
124,"нового поколения, тридцатилетние пузаны с залысинами, гастритом и камнями в почках, охуенно",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
125,шок. автопилот изобретение скинхедов.,скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
126,"скинхеды это неудачники как и все социалисты. пиздуйте работать. серьзно, просто завистливые, ленивые никчмыши. ссу скинам на лицо, другой вопрос, а они вообще еще существуют?",скинхэдов тред или белая россия для белых русских или интеллектуальный национализм. мы нацисты нового поколения!,1
