,comment,reference,labels
20,"алан бьюли, изучаем sql.","программирования тред, обсуждаем языки и технологии разработки",1
21,"доброе утро, господа. реквестирую. .. алгоритм деления в столбик. нет, серьзно я не могу придумать универсальные алгоритм, в т. ч. для дробных чисел.","программирования тред, обсуждаем языки и технологии разработки",1
22,что go. ваканcий на headhunter по россии.,"программирования тред, обсуждаем языки и технологии разработки",1
23,какой порядок цен на перевод аккаунта на форуме в состояние вечного бана. движок у форума vbulletin.,"программирования тред, обсуждаем языки и технологии разработки",1
24,"ищу библиотеку словарь на любом языке для нормализации имен. например parseсашенька, female александра. буду очень благодарен за ссылки. яп любой.","программирования тред, обсуждаем языки и технологии разработки",1
25,"спасибо. на этом вообще реально деньги зарабатывать, хотя бы к в месяц.","программирования тред, обсуждаем языки и технологии разработки",0
26,"сап уважаемые программисты, мне надо прогу для дипломной написать, хотя я по специальности судовождение. какой самый лгкий язык для написания.","программирования тред, обсуждаем языки и технологии разработки",1
27,"обычно первокурсники в россии изучают язык си. это не очень плохая идея в той части, что большинство языков имеют сиподобный синтаксис.","программирования тред, обсуждаем языки и технологии разработки",1
28,гугли про группы захвата и квантор ?,"программирования тред, обсуждаем языки и технологии разработки",1
29,чего ты ругаешься.,"программирования тред, обсуждаем языки и технологии разработки",0
30,ну это вообще какойто изи мод.,"программирования тред, обсуждаем языки и технологии разработки",0
31,"поясните, пожалуйста, как постить через ch api. я не понимаю, что нужно с капчей делать, пытаюсь отправить тестовый запрос выдает, что капча неверна.","программирования тред, обсуждаем языки и технологии разработки",1
32,"складывается впечатление, что проект писал какойто маг. а на самом деле его писал дебил.","программирования тред, обсуждаем языки и технологии разработки",0
33,укуривайся справочниками по архитектуре пк.,"программирования тред, обсуждаем языки и технологии разработки",1
34,тогда страдай.,"программирования тред, обсуждаем языки и технологии разработки",0
35,"потому что пердольось зделана разработчиками добровольцами под себя, больше ни для чего она не годится.","программирования тред, обсуждаем языки и технологии разработки",1
36,"капай дистилированую воду, и моргай чаще, от визина хуже будет.","программирования тред, обсуждаем языки и технологии разработки",0
37,лет пять назад портировал один чужой проект на тогда еще новую платформу. асло он был выложен под лицензией уровня зацените поцаны.,"программирования тред, обсуждаем языки и технологии разработки",1
38,"сап, анон. посоветую где можно купить норм курсач по программированию.","программирования тред, обсуждаем языки и технологии разработки",0
39,"утромвечером использую капли крем вокруг глаз, чтобы кругов не было и опухлость снять.","программирования тред, обсуждаем языки и технологии разработки",0
40,"паскаль лучший вариант для первого языка. он более строгий и детальный, по сравнению с тем же питоном.","программирования тред, обсуждаем языки и технологии разработки",1
41,"саганул случайно, виноват.","программирования тред, обсуждаем языки и технологии разработки",0
42,на степике курс пройди основы linux.,"программирования тред, обсуждаем языки и технологии разработки",1
43,подай в суд. зарепортил подпиндосника.,"программирования тред, обсуждаем языки и технологии разработки",0
44,денег дай.,"программирования тред, обсуждаем языки и технологии разработки",0
45,ктонить брал курсы на гикбрейнсе.,"программирования тред, обсуждаем языки и технологии разработки",1
46,ммм. нейроночки. распознования всякие. звучит годно,"программирования тред, обсуждаем языки и технологии разработки",1
47,в универе вс относительно бессмысленно.,"программирования тред, обсуждаем языки и технологии разработки",0
48,"спокойнее, анончик. совсем так нервы посадишь, это не дело.","программирования тред, обсуждаем языки и технологии разработки",0
49,"суп двошь. выручи книгой по ассемблеру, с уклоном на процы серии моторола к, на русском. я знаю, их у тебя есть.","программирования тред, обсуждаем языки и технологии разработки",1
50,"я новичок, пока другие продолжают ныть что у них нет стартового капитала и ещ чего то я делаю.","программирования тред, обсуждаем языки и технологии разработки",0
51,про tarantool кто что может сказать. стоит ли связываться. а миго браузер в комплекте будет.,"программирования тред, обсуждаем языки и технологии разработки",1
52,"а мне хочется на макбуках руби писать. ух, как открою макбук, так сразу борода шелковистее становится.","программирования тред, обсуждаем языки и технологии разработки",1
53,"ууу. набижали ссаные хипсторыньюфаги на вимах. вот в наше то время, загрузил с перфокарты емакс и регистры на калькуляторе.","программирования тред, обсуждаем языки и технологии разработки",1
54,соблюдайте технику безопасности.,"программирования тред, обсуждаем языки и технологии разработки",0
55,"вкатиться в апворк просто, достаточно поставить баксов в час и приличное резюме.","программирования тред, обсуждаем языки и технологии разработки",1
56,макак много. программистов нещадно мало.,"программирования тред, обсуждаем языки и технологии разработки",1
57,"objectivec. сам язык очень простой там реально с с классами с минимум добавлений к синтаксису с. он правда несколько специфичен, но это мелочи.","программирования тред, обсуждаем языки и технологии разработки",1
58,"аноны, у меня скоро будет предмет системное программирование. сейчас есть пара свободных дней. какие книги есть по этой теме.","программирования тред, обсуждаем языки и технологии разработки",1
59,"посоветуйте, пожалуйста, таймтрекер или калькулятор времени.","программирования тред, обсуждаем языки и технологии разработки",1
60,двачую этого.,"программирования тред, обсуждаем языки и технологии разработки",0
61,проверь кодировку в редакторе,"программирования тред, обсуждаем языки и технологии разработки",1
62,"tovik. ru. ч, решил в опт вкатиться.","программирования тред, обсуждаем языки и технологии разработки",0
63,нужно писать код.,"программирования тред, обсуждаем языки и технологии разработки",1
64,"деньги как раз есть. купи сервер за пару баксов и залей, в чем проблема.","программирования тред, обсуждаем языки и технологии разработки",0
65,тонны нефти тебе добрый человек.,"программирования тред, обсуждаем языки и технологии разработки",0
66,тетрис написал уже.,"программирования тред, обсуждаем языки и технологии разработки",1
67,"спасибо, братан.","программирования тред, обсуждаем языки и технологии разработки",0
68,"я ньюфаг. посоветуйте литературы на тему различий между языками программирования, небольшой экскурс в тему, написанный понятным для ньюфага языком.","программирования тред, обсуждаем языки и технологии разработки",1
69,"в смысле перегонять. напиши свой парсер и перегоняй по частям, если вс не нужно.","программирования тред, обсуждаем языки и технологии разработки",1
70,как такое уравнение в матлабе решить. вообще не разбираюсь в программировании.,"программирования тред, обсуждаем языки и технологии разработки",1
71,почему нельзя джаву скомпилировать сразу в нативный код чтобы миновать jvm.,"программирования тред, обсуждаем языки и технологии разработки",1
72,"алеша, игры и нагруженные задачи типа биллинга это далеко не от всех задач.","программирования тред, обсуждаем языки и технологии разработки",1
73,"пагни, перекотите ктонибудь тред с плюсами.","программирования тред, обсуждаем языки и технологии разработки",0
74,"nosql баз миллиард, каждая посвоему работает.","программирования тред, обсуждаем языки и технологии разработки",1
75,"не забудь реку свою сделать, размеров с квартиру. как в старину.","программирования тред, обсуждаем языки и технологии разработки",1
76,"же, вроде даже жава не сост уже. на крайняк есть c.","программирования тред, обсуждаем языки и технологии разработки",1
77,почему такой код на cuda,"программирования тред, обсуждаем языки и технологии разработки",1
78,"пожалуйте в poрашу, сударь.","программирования тред, обсуждаем языки и технологии разработки",0
79,"писать на с можно, но зачем.","программирования тред, обсуждаем языки и технологии разработки",1
80,"репостну из жабатреда, все молчат. надо запилить простое приложение с бд. что взять.","программирования тред, обсуждаем языки и технологии разработки",1
81,пхп возьми.,"программирования тред, обсуждаем языки и технологии разработки",1
82,общество анонимных dba.,"программирования тред, обсуждаем языки и технологии разработки",0
83,девопса не существует.,"программирования тред, обсуждаем языки и технологии разработки",1
84,"в понедельник настрою, товарищ начальник.","программирования тред, обсуждаем языки и технологии разработки",0
85,"какие страшные вещи рассказываешь, ты меня пугаешь.","программирования тред, обсуждаем языки и технологии разработки",0
86,"ты академические работы читал. цифры видел. они же смешные, обучение без учителя это технология завтрашнего дня и бизнес за нее платить не будет.","программирования тред, обсуждаем языки и технологии разработки",1
87,посоветуйте музыки и фильмов про java.,"программирования тред, обсуждаем языки и технологии разработки",1
88,от себя рекомендую задачки на codewars для практики.,"программирования тред, обсуждаем языки и технологии разработки",1
89,"не касался жс примерно полгода, накидайте кейвордов, что там сейчас модно в последние недели.","программирования тред, обсуждаем языки и технологии разработки",1
90,"предлагаю сделать электронное государство, гражданином которого сможет стать любой, как в эстонии.","программирования тред, обсуждаем языки и технологии разработки",0
91,они допилили асинхронный сервер он полноценный или какаято заглушка еще.,"программирования тред, обсуждаем языки и технологии разработки",1
92,оба варианта хороши. но если смотреть на год вперед я бы выбрал vue.,"программирования тред, обсуждаем языки и технологии разработки",1
93,"запилил рабинакарпа для множества образцов, работает в десятки, если не сотни, раз быстрее. даже хэш считать не пришлось, unorderedset само вс делает.","программирования тред, обсуждаем языки и технологии разработки",1
94,делаю привязку datetime к столбцу listview и дата у меня на английском языке. где и как нужно прикрутить переход на ruru.,"программирования тред, обсуждаем языки и технологии разработки",1
95,"он через pip не распространяется, качай с сайта.","программирования тред, обсуждаем языки и технологии разработки",1
96,одно другому не мешает как бы. что мешает пускать по кругу данные без умных указателей.,"программирования тред, обсуждаем языки и технологии разработки",1
97,"что поучить. сейчас работаю иосникомобжси и свифт, думаю какой новый язык начать для себя.","программирования тред, обсуждаем языки и технологии разработки",1
98,"у меня как раз дома кодинг сопоставим с поддержкой нормального скилла. на работе запрещают писать нормально, т. к. нужно, чтобы было быстро.","программирования тред, обсуждаем языки и технологии разработки",1
99,"лол попробуй нормальный проект в виме держать. с тестами, покрытием, дебагом. пальцев не хватит.","программирования тред, обсуждаем языки и технологии разработки",1
100,а куда делся список тредов по языкам программирования.,"программирования тред, обсуждаем языки и технологии разработки",1
101,"здаровча. язык свопрос серьезный. вот объявили class apa тут всякие паблики, приваты звездочкаapaчто означает звездочкаapa.","программирования тред, обсуждаем языки и технологии разработки",1
102,это значит что тебе рано кресты учить. попробуй в паскаль вкатиться.,"программирования тред, обсуждаем языки и технологии разработки",1
103,если определено в функции определение локального класа apa и создание указателя apa на него.,"программирования тред, обсуждаем языки и технологии разработки",1
104,"программирование на с калечит мозг, поэтому обучение ему должно трактоваться как преступление.","программирования тред, обсуждаем языки и технологии разработки",1
105,хаскель как.,"программирования тред, обсуждаем языки и технологии разработки",1
106,"почему разница в производительности почти в раза в пользу amp, и при этом потребление памяти у куды мб, у ампа ?amp","программирования тред, обсуждаем языки и технологии разработки",1
107,gpgpu библиотека сделанная из dx.,"программирования тред, обсуждаем языки и технологии разработки",1
108,"сап, програмач. делать нехуй, решил освоить какойнибудь язык программирования, легкий и интересный. с чего начать.","программирования тред, обсуждаем языки и технологии разработки",1
109,"сап, программач. что скажешь насчет sicp. стоит ли осваивать. прочитал содержание, выглядит захватывающе","программирования тред, обсуждаем языки и технологии разработки",1
110,второй вариант выглядит получше остальных.,"программирования тред, обсуждаем языки и технологии разработки",0
111,"спасибо. послушаю, мб еще ктонибудь подскажет что, если нет то буду так делать","программирования тред, обсуждаем языки и технологии разработки",0
112,"аноны, надоело преподавать математику и физику в своей шараге за копейки начал деградировать уже. хочу перекатиться в it.","программирования тред, обсуждаем языки и технологии разработки",0
113,бамп вопросу,"программирования тред, обсуждаем языки и технологии разработки",0
114,это никак не поможет.,"программирования тред, обсуждаем языки и технологии разработки",0
115,okay.,"программирования тред, обсуждаем языки и технологии разработки",0
116,хочешь сказать я из сикпа никаких знаний не почерпну. изучение haskell тоже нинужно.,"программирования тред, обсуждаем языки и технологии разработки",1
117,"бывают ли охуенно серьзные, не мертвые языки, с исключительно серьзными комьюнити из научных работников с полнейшим отсевом индусов, говноедов, детей и прочее.","программирования тред, обсуждаем языки и технологии разработки",1
118,"обоже, ответ по делу на русском форуме без иронии, вот уж охуетьзаебали шутники уже, куда от них деться.","программирования тред, обсуждаем языки и технологии разработки",0
119,"вообще в научной среде питон используют активно, есть куча библиотек под все, но твоим критериям он вообще не соответствует лол.","программирования тред, обсуждаем языки и технологии разработки",1
120,я неск недель назад,"программирования тред, обсуждаем языки и технологии разработки",0
121,благодарю,"программирования тред, обсуждаем языки и технологии разработки",0
122,они тоже смотрят урганта и пьют смуззи. я бы на них в суд подал за такое.,"программирования тред, обсуждаем языки и технологии разработки",0
123,"нет, они бы за пару недель не сомгли создать такое приложение","программирования тред, обсуждаем языки и технологии разработки",1
124,это офиц приложение от эпплно руки у меня все равно опустилисьюююююююююю,"программирования тред, обсуждаем языки и технологии разработки",0
125,ты просто недооцениваешь их смуззи. ты такого никогда не пил.,"программирования тред, обсуждаем языки и технологии разработки",0
126,"у меня баттхерт что как только я придумал классную идею, эппл уже выпустила готовый продукт на рынок","программирования тред, обсуждаем языки и технологии разработки",0
127,"анон, есть идеи, какую тему можно взять на диплом. работа должна обладать практической ценностью, но при этом не быть унылым говном.","программирования тред, обсуждаем языки и технологии разработки",0
128,"аноны, помогите плс тупой пизде с лабами по программированию на джаве. пишу половину кода, а на другую мозгов не хватает или упускаю малые детали.","программирования тред, обсуждаем языки и технологии разработки",1
129,guixqucs если из электроникисистема интрнет голосований bitmessage electionvoting systemобучаемый фильтр для upwork,"программирования тред, обсуждаем языки и технологии разработки",1
130,по долгу фуллстек джависта задался вопросом а где на двачах обитают верстальщики.,"программирования тред, обсуждаем языки и технологии разработки",1
131,наверное там очень серьзные люди. тут кроме шутников никого не осталось.,"программирования тред, обсуждаем языки и технологии разработки",0
132,"ну странный вопрос, везде есть адекваты и неадекваты, походи по тредам, почитай.","программирования тред, обсуждаем языки и технологии разработки",0
133,c programming language. больше ничего нет.,"программирования тред, обсуждаем языки и технологии разработки",1
134,"есть какойнибудь сайт где раздаются оплачиваемые задания для программистов на удаленной работе, как на доске объявлений в ведьмаке.","программирования тред, обсуждаем языки и технологии разработки",1
135,"хочу запилить свой сервер на питоне. чтобы по tcp или http можно было отправлять данные из клиента, а он с sql чтонибудь делал и хтмэльку генерировал.","программирования тред, обсуждаем языки и технологии разработки",1
136,нужно найти в tsql список блюд ценою в интервале от до почему когда выбираю у меня перемножаются два столбика. как сделать правильно,"программирования тред, обсуждаем языки и технологии разработки",1
137,"потому что ты ебанул декартово произведение. тебе нужен либо join, либо ты вообще просто селект","программирования тред, обсуждаем языки и технологии разработки",1
138,зачем тредто удалили того студента. может это был бы тредзадач.,"программирования тред, обсуждаем языки и технологии разработки",0
139,у меня горит что както удалили этот тред,"программирования тред, обсуждаем языки и технологии разработки",0
140,вс никак не могу начать начать начинать вкатываться,"программирования тред, обсуждаем языки и технологии разработки",0
141,"блядь, а ведь три с хуем месяца прошло, он уже на работе работает, инфа","программирования тред, обсуждаем языки и технологии разработки",0
142,"аноний, есть два стулано для начала предыстория. я тут был некогда типичным вкатывальщиком уровня pr, но в отличии от легиона до меня я свою цель не бросал.","программирования тред, обсуждаем языки и технологии разработки",0
143,"от человека зависит, главное алгоритмическое мышление и умение разбивать задачу на подзадачи. а cs это по сути дискретная математика.","программирования тред, обсуждаем языки и технологии разработки",1
144,"потому что кодомакак программистов дохуя, а знающих специалистов cisco немного, а нужны они всем.","программирования тред, обсуждаем языки и технологии разработки",1
145,в чем суть. что за знания такие они знают.,"программирования тред, обсуждаем языки и технологии разработки",0
146,"парень. деньги это не про знания. суть в том что у тебя что редкое, и демпингующие дегенераты не набижали в твою нишу и не обрушили рынок. редкая хуйня.","программирования тред, обсуждаем языки и технологии разработки",0
147,"говнопрограмм дохуя и из них нахуй не нужны, а через сетевые устройства cisco ежесекундно прогоняются зиллионы данных.","программирования тред, обсуждаем языки и технологии разработки",1
148,"манагеров евангелируют этот ваш скрам пока один программист сычов пишет код блять. начальников у него мало. дядя, лови наркомана.","программирования тред, обсуждаем языки и технологии разработки",1
149,пили свою фирму чо как лох.,"программирования тред, обсуждаем языки и технологии разработки",0
150,"главное не учи swift, c, visual basic, и подобное говно.","программирования тред, обсуждаем языки и технологии разработки",1
151,"парни, иррационально вспомнил одного чувака. гулял по программачу, или пикчи с ним, не знаю кто он такой, просто вспомнил его почемуто. такой, сука, внезапно в очочках.","программирования тред, обсуждаем языки и технологии разработки",0
152,нужен алгоритм генерации заданного количества т. е. не обязательно всех возможных комбинаторных сочетаний без повторений с максимальной разницей между сочетаниями.,"программирования тред, обсуждаем языки и технологии разработки",1
153,"доброе утро, господа фрилансеры. у меня снова вопрос для специальной олимпиады, а именно по длинному делению.","программирования тред, обсуждаем языки и технологии разработки",1
154,"хочу делать ии, какой язык учить.","программирования тред, обсуждаем языки и технологии разработки",1
155,зелный чтоли.,"программирования тред, обсуждаем языки и технологии разработки",0
156,"горит курсовая по теме аудио конвертер на delphi. сам сделать не успею, а найти не смог. помохите","программирования тред, обсуждаем языки и технологии разработки",1
157,нужна помощь. прога вычисляющая неопределенный интеграл из функции которую вводит юзер. сдача курсовой поджимает,"программирования тред, обсуждаем языки и технологии разработки",1
158,на чм можно запилить программу чтобы совместить все найденные поисковики под одной крышей и сделать поиск по определенным расширениям.,"программирования тред, обсуждаем языки и технологии разработки",1
159,"сам придумал. пиздец, в универе я такое говно за минут решал, а тут полдня раздумывал. крудошлепство все мозги выжигает","программирования тред, обсуждаем языки и технологии разработки",1
160,"ты, случаем, не лотерею решил взломать.","программирования тред, обсуждаем языки и технологии разработки",0
161,"подскажите, пожалуйста, вменяемый vpsхостинг рублей и с оплатой по яндексденьгам. и желательно чтобы на диске было свободно хотя бы гб.","программирования тред, обсуждаем языки и технологии разработки",1
162,"сап. язык c в шарпе почти ноль, в ооп в принципе тоже. знаю только процедурную часть плюсов.","программирования тред, обсуждаем языки и технологии разработки",1
163,ты в конструкторе целочисленному типы присваиваешь значение ссылочного. null ! мимо анон с поста про шарп,"программирования тред, обсуждаем языки и технологии разработки",1
164,"посоны, все, наверное, знают про стеганографические программки, которые прячут инфу в картинках","программирования тред, обсуждаем языки и технологии разработки",0
165,все абсолютно через жопу прост.,"программирования тред, обсуждаем языки и технологии разработки",0
166,не помогло,"программирования тред, обсуждаем языки и технологии разработки",0
167,ох лол. у тебя память под хранение строк не выделяется. char name и тд,"программирования тред, обсуждаем языки и технологии разработки",1
168,ты же упоротый.,"программирования тред, обсуждаем языки и технологии разработки",0
169,быстрофикс,"программирования тред, обсуждаем языки и технологии разработки",0
170,вот.,"программирования тред, обсуждаем языки и технологии разработки",0
171,препод сказал нужно использовать char потом нужно операции перегружать,"программирования тред, обсуждаем языки и технологии разработки",1
172,"спасибо, анон, няшек тебе.","программирования тред, обсуждаем языки и технологии разработки",0
173,"твой препод сломался, несите другого.","программирования тред, обсуждаем языки и технологии разработки",0
174,стоит ли заморачиваться с написанием python модуля для zmap и говнокодингом многопоточности он ведь и так очень быстрый для сканера оче больших подсетей ipv.,"программирования тред, обсуждаем языки и технологии разработки",1
175,вопрос по синтаксису питона.,"программирования тред, обсуждаем языки и технологии разработки",1
176,"никак, первый метод ждет словарь, а ему прилетает позиционный аргумент.","программирования тред, обсуждаем языки и технологии разработки",1
177,багос как есть. спасибки.,"программирования тред, обсуждаем языки и технологии разработки",0
178,"блин я тоже ошибся, первый метод не словарь ждет, а набор типо ffoo, bar. поэтому и нельзя передать просто словарь одним значением","программирования тред, обсуждаем языки и технологии разработки",1
179,"хы, можно.","программирования тред, обсуждаем языки и технологии разработки",0
180,бампану,"программирования тред, обсуждаем языки и технологии разработки",0
181,"да, first действительно годнота, но если нужно под почту, то лучше брать kvm тарифы","программирования тред, обсуждаем языки и технологии разработки",1
182,"ну так можно конечно, ты в вызове f из g распаковывает переданный словарь","программирования тред, обсуждаем языки и технологии разработки",1
183,что значит под почту. почтовый сервер.,"программирования тред, обсуждаем языки и технологии разработки",1
184,петушарня твой выбор.,"программирования тред, обсуждаем языки и технологии разработки",0
185,какоето отторжение вызывает это вс. особенно фронтенд.,"программирования тред, обсуждаем языки и технологии разработки",1
186,"ну ты какойто нихачуха. тут ему времени нет, тут он не хочет, тут сложна. с таким подходом только в макдак.","программирования тред, обсуждаем языки и технологии разработки",0
187,"например, кому нужны. компании связи. их так много.","программирования тред, обсуждаем языки и технологии разработки",0
188,"скажите почему не работает в c считывание кириллицы в массив, а латиница работаетchar acin a","программирования тред, обсуждаем языки и технологии разработки",1
189,потому что кирилица для даунов.,"программирования тред, обсуждаем языки и технологии разработки",0
190,школьник незаметен.,"программирования тред, обсуждаем языки и технологии разработки",0
191,а для чего это нужно.,"программирования тред, обсуждаем языки и технологии разработки",0
192,как стать обучаемым.,"программирования тред, обсуждаем языки и технологии разработки",0
193,"у меня диагностированное слабоумие ой степени дебильность, простите. .","программирования тред, обсуждаем языки и технологии разработки",0
194,как вариант вырезать из строки весь текст до after и спокойно искать href,"программирования тред, обсуждаем языки и технологии разработки",1
195,"указатели, видимо. а секрет прост надо было начинать с ассемблера.","программирования тред, обсуждаем языки и технологии разработки",1
196,"если указатели то расстраиваться особо не стоит, такая вещь, на понимание которой нужно чуть больше времени.","программирования тред, обсуждаем языки и технологии разработки",1
197,"ассемблер очень простой язык, только многословный. я в детстве в паскале не мог осилить указатели примеры из книжки про списки, деревья и т. д. .","программирования тред, обсуждаем языки и технологии разработки",1
198,"такое решение мне засчитали. но не выглядит ли это костыльно. выглядит. ну это одним запросом красиво не сделать. вместо maxtype, поищи чтото вроде first","программирования тред, обсуждаем языки и технологии разработки",1
199,на семерке анальные зонды мягче и незаметней.,"программирования тред, обсуждаем языки и технологии разработки",0
200,вот список всех агрегатных функций в mysql,"программирования тред, обсуждаем языки и технологии разработки",1
201,"вопрос по смежной теме. допустим, у моего кода в зависимостях либа под gplv. это ведь помешает мне выпускать бинарники под mit.","программирования тред, обсуждаем языки и технологии разработки",1
202,где почитать про то какие на самом деле есть специальности в айти и что для этого надо. не всем же говнокодить неопределнную парашу,"программирования тред, обсуждаем языки и технологии разработки",1
203,"офисные будни itмартышки. здесь прекрасно все и суровый начальникменеджер, высокий, красивый блондин, который заставляет пахать и проблемы с женским полом.","программирования тред, обсуждаем языки и технологии разработки",0
204,"клевая песня, вообще откуда пошло называть программистов обезьянами, в чем прикол. есть же куча работы, где еще меньше мозгов нужно.","программирования тред, обсуждаем языки и технологии разработки",0
205,"обезъяний язык режит уши, воистину, английский язык пидоров","программирования тред, обсуждаем языки и технологии разработки",0
206,"сап программистыонанисты, как убрать скрипт, который время от времени открывает браузер, и включает один и тот же сайт.","программирования тред, обсуждаем языки и технологии разработки",1
207,"пасматри планировщик, быдло","программирования тред, обсуждаем языки и технологии разработки",0
208,"от английского выражения monkey business обезьянье дело, бессмысленная работа.","программирования тред, обсуждаем языки и технологии разработки",0
209,пришло время переустановить шиндовс,"программирования тред, обсуждаем языки и технологии разработки",0
210,вкатываюсь в пр с чего начать. учу питон и жс по месяцу надо что то одно продолжать для продуктивности что выбрать помоги анон,"программирования тред, обсуждаем языки и технологии разработки",1
211,"англопидоры дарвина форсили, а там же все наоборот","программирования тред, обсуждаем языки и технологии разработки",0
212,бамп,"программирования тред, обсуждаем языки и технологии разработки",0
213,удваиваю,"программирования тред, обсуждаем языки и технологии разработки",0
214,снгпараша и этим все сказано. мы называем всех пидорами чтобы оправдать то что сами говноеды.,"программирования тред, обсуждаем языки и технологии разработки",0
215,c programming language.,"программирования тред, обсуждаем языки и технологии разработки",1
216,"подпиндоха, твоим хозяевам даже в оон шершавым проводят. смирись.","программирования тред, обсуждаем языки и технологии разработки",0
217,как стать хорошо обучаемым.,"программирования тред, обсуждаем языки и технологии разработки",0
218,"найти удобный для себя алгоритм обучения, и выяснить для чего же ты учишь это сво погромировани","программирования тред, обсуждаем языки и технологии разработки",1
219,"за сколько времени, при норм усилиях и устремлении, изучается нормально haskell.","программирования тред, обсуждаем языки и технологии разработки",1
220,"пацаны, как собрать команду.","программирования тред, обсуждаем языки и технологии разработки",0
221,"я ебанулся, если хочу быть фуллстек и писать фронтоговно на js а бэк на asp. net, или всетаки в этом есть смысл и я смогу найти работу. сегодня сблевал когда попробовал пхп","программирования тред, обсуждаем языки и технологии разработки",1
222,"почему нет нормальных туториалов, например как создать готовое приложение под винду, чтобы вс красиво, с графиками и таблицами, свистело и пердело.","программирования тред, обсуждаем языки и технологии разработки",1
223,просто иди на хуй. иди в макдак кассу освобождай.,"программирования тред, обсуждаем языки и технологии разработки",0
224,бамп,"программирования тред, обсуждаем языки и технологии разработки",0
225,"вообщето есть, для любого графического фреймворка. типа","программирования тред, обсуждаем языки и технологии разработки",1
226,"сап. есть тут джедаи qt creator и тестов. у меня есть код, который я бы хотел протестировать, но не могу сам разобраться.","программирования тред, обсуждаем языки и технологии разработки",1
227,"работато существует, но судя по вакансиям нужен опыт.","программирования тред, обсуждаем языки и технологии разработки",0
228,есть тут кто работает программистом. нравится ли работа. много ли остается свободного времени на свои хобби и увлечения.,"программирования тред, обсуждаем языки и технологии разработки",1
229,сколько времени при серьезном подходе учится haskell.,"программирования тред, обсуждаем языки и технологии разработки",1
230,с работой d художника напримеркакое хобби,"программирования тред, обсуждаем языки и технологии разработки",0
231,неделю.,"программирования тред, обсуждаем языки и технологии разработки",0
232,с почти нуля.,"программирования тред, обсуждаем языки и технологии разработки",0
233,неделю и один день.,"программирования тред, обсуждаем языки и технологии разработки",0
234,а какие должны быть хобби то. тип чтото не связанное с работой. типа игры на укулеле или дрочки.,"программирования тред, обсуждаем языки и технологии разработки",0
235,коммерческое самоубийство.,"программирования тред, обсуждаем языки и технологии разработки",0
236,". ну тип покупаешь хуйня нейм и она стоит у тебя на полке, но всем говоришь что у тебя есть время на хобби.","программирования тред, обсуждаем языки и технологии разработки",0
237,"что у тебя есть время на хобби. ой да ладно блядь, приезжаешь на свою работу в , работаешь до допустим","программирования тред, обсуждаем языки и технологии разработки",0
238,"обычно рабочий день до . итого перед нормальным сном останется часа. этого хватит только комп включить и охуеть, что скоро надо идти спать.","программирования тред, обсуждаем языки и технологии разработки",0
239,на деле обычно пред сном есть ровно час свободного времени.,"программирования тред, обсуждаем языки и технологии разработки",0
240,"да пиздец какойто, это уже не жизнь, это рабство какоето","программирования тред, обсуждаем языки и технологии разработки",0
241,"и чо, мамкинымы борщами питаешься.","программирования тред, обсуждаем языки и технологии разработки",0
